travel.time.sum,travel.time.mean,trips,cong,party,ideology,winpct,seniority,chairman,committee,party.leader,state.district,extreme,fourteenth,thirteenth,twelfth,eleventh,democrat,house.majority
0,0,0,111,200,0.822,46.41,2,0,0,0,MN6,1.1870046,0,0,0,1,0,0
25,2.5,10,111,100,-0.163,72.2,10,1,0,0,MN7,0.8076525,0,0,0,1,1,1
24,4,6,114,100,-0.144,54.2808554,13,0,1,0,MN7,0.7886525,1,0,0,0,1,0
17,2.833333333,6,112,100,-0.169,59.4853092,11,0,1,0,MN7,0.8136525,0,0,1,0,1,0
11,2.75,4,113,100,-0.175,63.3868349,12,0,1,0,MN7,0.8196525,0,1,0,0,1,1
11,2.75,4,110,100,-0.157,69.66,9,0,0,0,MN7,0.8016525,0,0,0,0,1,0
57,4.384615385,13,111,100,-0.508,67.69,18,1,0,0,MN8,1.1526525,0,0,0,1,1,1
44,5.5,8,110,100,-0.51,63.61,17,1,0,0,MN8,1.1546525,0,0,0,0,1,1
3,3,1,112,200,0.614,50.8382527,1,0,0,0,MN8,0.9790046,0,0,1,0,0,1
9,9,1,113,100,-0.407,54.4699755,1,0,0,0,MN8,1.0516525,0,1,0,0,1,0
0,0,0,114,100,-0.377,50.7333522,5,0,0,0,MN8,1.0216525,1,0,0,0,1,0
24,4,6,110,100,-0.472,72.89,4,0,0,0,MO1,1.1166525,0,0,0,0,1,1
28,5.6,5,112,100,-0.468,75.6357185,6,0,0,0,MO1,1.1126525,0,0,1,0,1,0
11,3.666666667,3,111,100,-0.47,86.86,5,0,0,0,MO1,1.1146525,0,0,0,1,1,1
13,6.5,2,113,100,-0.466,81.4524116,7,0,0,0,MO1,1.1106525,0,1,0,0,1,0
0,0,0,114,100,-0.491,77.1825756,8,0,0,0,MO1,1.1356525,1,0,0,0,1,0
43,3.583333333,12,114,200,0.447,66.2824556,3,0,0,0,MO2,0.8120046,1,0,0,0,0,1
20,2.5,8,113,200,0.653,61.8611893,1,0,0,0,MO2,1.0180046,0,1,0,0,0,1
15,3,5,110,200,0.783,61.35,4,0,0,0,MO2,1.1480046,0,0,0,0,0,0
14,4.666666667,3,112,200,0.781,69.939684,6,0,0,0,MO2,1.1460046,0,0,1,0,0,1
0,0,0,111,200,0.782,62.28,5,0,0,0,MO2,1.1470046,0,0,0,1,0,0
84,5.25,16,112,100,-0.306,51.1409888,3,0,0,0,MO3,0.9506525,0,0,1,0,1,0
26,2.888888889,9,113,200,0.661,65.8919012,3,0,0,0,MO3,1.0260046,0,1,0,0,0,1
23,3.285714286,7,114,200,0.445,71.5671646,4,0,0,0,MO3,0.8100046,1,0,0,0,0,1
35,5.833333333,6,110,100,-0.306,65.58,1,0,0,0,MO3,0.9506525,0,0,0,0,1,1
27,4.5,6,111,100,-0.306,66.37,2,0,0,0,MO3,0.9506525,0,0,0,1,1,1
35,3.5,10,113,200,0.715,62.9618951,2,0,0,0,MO4,1.0800046,0,1,0,0,0,1
23,3.833333333,6,112,200,0.715,52.788979,1,0,0,0,MO4,1.0800046,0,0,1,0,0,1
9,3,3,114,200,0.504,72.0900059,3,0,0,0,MO4,0.8690046,1,0,0,0,0,1
7,2.333333333,3,111,100,-0.187,65.91,17,1,0,0,MO4,0.8316525,0,0,0,1,1,1
0,0,0,110,100,-0.183,67.64,16,1,0,0,MO4,0.8276525,0,0,0,0,1,1
63,4.2,15,112,100,-0.419,54.4910535,3,0,0,0,MO5,1.0636525,0,0,1,0,1,0
31,3.875,8,114,100,-0.458,50.4252586,6,0,0,0,MO5,1.1026525,1,0,0,0,1,0
23,4.6,5,113,100,-0.42,61.8007323,4,0,0,0,MO5,1.0646525,0,1,0,0,1,0
7,2.333333333,3,111,100,-0.417,64.37,2,0,0,0,MO5,1.0616525,0,0,0,1,1,1
2,2,1,110,100,-0.415,64.25,1,0,0,0,MO5,1.0596525,0,0,0,0,1,1
27,3,9,113,200,0.792,66.6556969,7,1,0,0,MO6,1.1570046,0,1,0,0,0,1
13,3.25,4,111,200,0.707,59.43,5,0,1,0,MO6,1.0720046,0,0,0,1,0,0
11,2.75,4,112,200,0.749,69.4541928,6,1,0,0,MO6,1.1140046,0,0,1,0,0,1
